Code,Variable_Description,Data_File
DR1IS060,SFA 6:0 (Hexanoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IS080,SFA 8:0 (Octanoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IS100,SFA 10:0 (Decanoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IS120,SFA 12:0 (Dodecanoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IS140,SFA 14:0 (Tetradecanoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IS160,SFA 16:0 (Hexadecanoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IS180,SFA 18:0 (Octadecanoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IM161,MFA 16:1 (Hexadecenoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IM181,MFA 18:1 (Octadecenoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IM201,MFA 20:1 (Eicosenoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IM221,MFA 22:1 (Docosenoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IP182,PFA 18:2 (Octadecadienoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IP183,PFA 18:3 (Octadecatrienoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IP184,PFA 18:4 (Octadecatetraenoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IP204,PFA 20:4 (Eicosatetraenoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IP205,PFA 20:5 (Eicosapentaenoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IP225,PFA 22:5 (Docosapentaenoic) (gm),"Dietary Interview - Individual Foods, First Day"
DR1IP226,PFA 22:6 (Docosahexaenoic) (gm),"Dietary Interview - Individual Foods, First Day"
SEQN,Respondent sequence number,"Dietary Interview - Individual Foods, Second Day"
WTDRD1PP,Dietary day one sample weight,"Dietary Interview - Individual Foods, Second Day"
WTDR2DPP,Dietary two-day sample weight,"Dietary Interview - Individual Foods, Second Day"
DR2ILINE,Food/Individual component number,"Dietary Interview - Individual Foods, Second Day"
DR2DRSTZ,Dietary recall status,"Dietary Interview - Individual Foods, Second Day"
DR2EXMER,Interviewer ID code,"Dietary Interview - Individual Foods, Second Day"
DRABF,Breast-fed infant (either day),"Dietary Interview - Individual Foods, Second Day"
DRDINT,Number of days of intake,"Dietary Interview - Individual Foods, Second Day"
DR2DBIH,# of days b/w intake and HH interview,"Dietary Interview - Individual Foods, Second Day"
DR2DAY,Intake day of the week,"Dietary Interview - Individual Foods, Second Day"
DR2LANG,Language respondent used mostly,"Dietary Interview - Individual Foods, Second Day"
DR2CCMNM,Combination food number,"Dietary Interview - Individual Foods, Second Day"
DR2CCMTX,Combination food type,"Dietary Interview - Individual Foods, Second Day"
DR2FS,Source of food,"Dietary Interview - Individual Foods, Second Day"
DR2IFDCD,USDA food code,"Dietary Interview - Individual Foods, Second Day"
DR2IGRMS,Grams,"Dietary Interview - Individual Foods, Second Day"
DR2IKCAL,Energy (kcal),"Dietary Interview - Individual Foods, Second Day"
DR2IPROT,Protein (gm),"Dietary Interview - Individual Foods, Second Day"
DR2ICARB,Carbohydrate (gm),"Dietary Interview - Individual Foods, Second Day"
DR2ISUGR,Total sugars (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IFIBE,Dietary fiber (gm),"Dietary Interview - Individual Foods, Second Day"
DR2ITFAT,Total fat (gm),"Dietary Interview - Individual Foods, Second Day"
DR2ISFAT,Total saturated fatty acids (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IMFAT,Total monounsaturated fatty acids (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IPFAT,Total polyunsaturated fatty acids (gm),"Dietary Interview - Individual Foods, Second Day"
DR2ICHOL,Cholesterol (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IATOC,Vitamin E as alpha-tocopherol (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IATOA,Added alpha-tocopherol (Vitamin E) (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IRET,Retinol (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IVARA,"Vitamin A, RAE (mcg)","Dietary Interview - Individual Foods, Second Day"
DR2IACAR,Alpha-carotene (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IBCAR,Beta-carotene (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2ICRYP,Beta-cryptoxanthin (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2ILYCO,Lycopene (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2ILZ,Lutein + zeaxanthin (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IVB1,Thiamin (Vitamin B1) (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IVB2,Riboflavin (Vitamin B2) (mg),"Dietary Interview - Individual Foods, Second Day"
DR2INIAC,Niacin (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IVB6,Vitamin B6 (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IFOLA,Total folate (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IFA,Folic acid (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IFF,Food folate (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IFDFE,"Folate, DFE (mcg)","Dietary Interview - Individual Foods, Second Day"
DR2ICHL,Total choline (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IVB12,Vitamin B12 (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IB12A,Added vitamin B12 (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IVC,Vitamin C (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IVD,Vitamin D (D2 + D3) (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2IVK,Vitamin K (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2ICALC,Calcium (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IPHOS,Phosphorus (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IMAGN,Magnesium (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IIRON,Iron (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IZINC,Zinc (mg),"Dietary Interview - Individual Foods, Second Day"
DR2ICOPP,Copper (mg),"Dietary Interview - Individual Foods, Second Day"
DR2ISODI,Sodium (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IPOTA,Potassium (mg),"Dietary Interview - Individual Foods, Second Day"
DR2ISELE,Selenium (mcg),"Dietary Interview - Individual Foods, Second Day"
DR2ICAFF,Caffeine (mg),"Dietary Interview - Individual Foods, Second Day"
DR2ITHEO,Theobromine (mg),"Dietary Interview - Individual Foods, Second Day"
DR2IALCO,Alcohol (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IMOIS,Moisture (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IS040,SFA 4:0 (Butanoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IS060,SFA 6:0 (Hexanoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IS080,SFA 8:0 (Octanoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IS100,SFA 10:0 (Decanoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IS120,SFA 12:0 (Dodecanoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IS140,SFA 14:0 (Tetradecanoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IS160,SFA 16:0 (Hexadecanoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IS180,SFA 18:0 (Octadecanoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IM161,MFA 16:1 (Hexadecenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IM181,MFA 18:1 (Octadecenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IM201,MFA 20:1 (Eicosenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IM221,MFA 22:1 (Docosenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IP182,PFA 18:2 (Octadecadienoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IP183,PFA 18:3 (Octadecatrienoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IP184,PFA 18:4 (Octadecatetraenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IP204,PFA 20:4 (Eicosatetraenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IP205,PFA 20:5 (Eicosapentaenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IP225,PFA 22:5 (Docosapentaenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
DR2IP226,PFA 22:6 (Docosahexaenoic) (gm),"Dietary Interview - Individual Foods, Second Day"
SEQN,Respondent sequence number,"Dietary Interview - Total Nutrient Intakes, First Day"
WTDRD1PP,Dietary day one sample weight,"Dietary Interview - Total Nutrient Intakes, First Day"
WTDR2DPP,Dietary two-day sample weight,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1DRSTZ,Dietary recall status,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1EXMER,Interviewer ID code,"Dietary Interview - Total Nutrient Intakes, First Day"
DRABF,Breast-fed infant (either day),"Dietary Interview - Total Nutrient Intakes, First Day"
DRDINT,Number of days of intake,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1DBIH,# of days b/w intake and HH interview,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1DAY,Intake day of the week,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1LANG,Language respondent used mostly,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1MRESP,Main respondent for this interview,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1HELP,Helped in responding for this interview,"Dietary Interview - Total Nutrient Intakes, First Day"
DBQ095Z,Type of table salt used,"Dietary Interview - Total Nutrient Intakes, First Day"
DBD100,How often add salt to food at table,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSPREP,Salt used in preparation?,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1STY,Salt used at table yesterday?,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1SKY,Type of salt used yesterday,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDIET,On special diet?,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT1,Weight loss/Low calorie diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT2,Low fat/Low cholesterol diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT3,Low salt/Low sodium diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT4,Sugar free/Low sugar diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT5,Low fiber diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT6,High fiber diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT7,Diabetic diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT8,Weight gain/Muscle building diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT9,Low carbohydrate diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT10,High protein diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT11,Gluten-free/Celiac diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT12,Renal/Kidney diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DRQSDT91,Other special diet,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TNUMF,Number of foods/beverages reported,"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TKCAL,Energy (kcal),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TPROT,Protein (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TCARB,Carbohydrate (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TSUGR,Total sugars (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TFIBE,Dietary fiber (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TTFAT,Total fat (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TSFAT,Total saturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TMFAT,Total monounsaturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TPFAT,Total polyunsaturated fatty acids (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TCHOL,Cholesterol (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TATOC,Vitamin E as alpha-tocopherol (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TRET,Retinol (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TVARA,"Vitamin A, RAE (mcg)","Dietary Interview - Total Nutrient Intakes, First Day"
DR1TACAR,Alpha-carotene (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TBCAR,Beta-carotene (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TCRYP,Beta-cryptoxanthin (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TLYCO,Lycopene (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TLZ,Lutein + zeaxanthin (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TVB1,Thiamin (Vitamin B1) (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TVB2,Riboflavin (Vitamin B2) (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TNIAC,Niacin (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TVB6,Vitamin B6 (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TFOLA,Total folate (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TFA,Folic acid (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TFF,Food folate (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TFDFE,"Folate, DFE (mcg)","Dietary Interview - Total Nutrient Intakes, First Day"
DR1TCHL,Total choline (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TVB12,Vitamin B12 (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TB12A,Added vitamin B12 (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TVC,Vitamin C (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TVD,Vitamin D (D2 + D3) (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TVK,Vitamin K (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TCALC,Calcium (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TPHOS,Phosphorus (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TMAGN,Magnesium (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TIRON,Iron (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TZINC,Zinc (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TCOPP,Copper (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TSODI,Sodium (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TPOTA,Potassium (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TSELE,Selenium (mcg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TCAFF,Caffeine (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TTHEO,Theobromine (mg),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TALCO,Alcohol (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TMOIS,Moisture (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TS040,SFA 4:0 (Butanoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TS060,SFA 6:0 (Hexanoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TS080,SFA 8:0 (Octanoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TS100,SFA 10:0 (Decanoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TS120,SFA 12:0 (Dodecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TS140,SFA 14:0 (Tetradecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TS160,SFA 16:0 (Hexadecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TS180,SFA 18:0 (Octadecanoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TM181,MFA 18:1 (Octadecenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TM201,MFA 20:1 (Eicosenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TM221,MFA 22:1 (Docosenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TP182,PFA 18:2 (Octadecadienoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TP183,PFA 18:3 (Octadecatrienoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TP184,PFA 18:4 (Octadecatetraenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TP204,PFA 20:4 (Eicosatetraenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TP205,PFA 20:5 (Eicosapentaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TP225,PFA 22:5 (Docosapentaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TP226,PFA 22:6 (Docosahexaenoic) (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1BWATZ,Total bottled water drank yesterday (gm),"Dietary Interview - Total Nutrient Intakes, First Day"
DR1TWSZ,Tap water source,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD340,Shellfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350A,Clams eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350AQ,# of times clams eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350B,Crabs eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350BQ,# of times crabs eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350C,Crayfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350CQ,# of times crayfish eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350D,Lobsters eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350DQ,# of times lobsters eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350E,Mussels eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350EQ,# of times mussels eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350F,Oysters eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350FQ,# of times oysters eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350G,Scallops eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350GQ,# of times scallops eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350H,Shrimp eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350HQ,# of times shrimp eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350I,Other shellfish eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350IQ,# of times other shellfish eaten,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350J,Other unknown shellfish eaten past 30 d,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350JQ,# of times other unknown shellfish eaten,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD350K,Refused on shellfish eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD360,Fish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370A,Breaded fish products eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370AQ,# of times breaded fish products eaten,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370B,Tuna eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370BQ,# of times tuna eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370C,Bass eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370CQ,# of times bass eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370D,Catfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370DQ,# of times catfish eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370E,Cod eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370EQ,# of times cod eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370F,Flatfish eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370FQ,# of times flatfish eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370G,Haddock eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370GQ,# of times haddock eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370H,Mackerel eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370HQ,# of times mackerel eaten past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370I,Perch eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370IQ,# of times perch eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370J,Pike eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370JQ,# of times pike eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370K,Pollock eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370KQ,# of times pollock eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370L,Porgy eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370LQ,# of times porgy eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370M,Salmon eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370MQ,# of times salmon eaten in past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
DRD370N,Sardines eaten during past 30 days,"Dietary Interview - Total Nutrient Intakes, First Day"
