feature_1,feature_2,mean_abs_interaction
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_BMX__BMXWAIST_Waist_Circumference_cm,0.005745593
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_HUQ__HUQ010_General_health_condition,0.0054047364
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.0053516123
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.0053512044
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_BMX__BMXWAIST_Waist_Circumference_cm,0.004913023
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.0045878626
P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.00455296
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.0044419155
P_MCQ__MCQ366D_2.0,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0043554967
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,Pulse_median,0.004264384
P_PBCD__LBDBPBSI_Blood_lead_umol_L,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0041405223
P_MCQ__MCQ300C_2.0,P_MCQ__MCQ366D_2.0,0.0040092985
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_BIOPRO__LBXSCLSI_Chloride_mmol_L,0.0038060579
Pulse_median,P_HUQ__HUQ010_General_health_condition,0.0033329548
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.003222785
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0032002102
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.003015656
P_MCQ__MCQ300C_2.0,Pulse_median,0.0029785908
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.0029518644
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_HUQ__HUQ051_times_receive_healthcare_over_past_year,0.0028871812
Pulse_median,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0028611
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,Pulse_median,0.0023221173
P_PBCD__LBDBPBSI_Blood_lead_umol_L,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.0021982112
P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,P_BMX__BMXWAIST_Waist_Circumference_cm,0.002126919
Pulse_median,P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.0018299748
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.0018188959
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0015796426
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0015681385
Pulse_median,P_BMX__BMXWAIST_Waist_Circumference_cm,0.0014839477
P_DEMO__RIDAGEYR_Age_in_years_at_screening,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.001402879
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_HUQ__HUQ010_General_health_condition,0.0013608682
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.0010947139
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,Pulse_median,0.00076435955
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.000764069
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.00021142125
P_MCQ__MCQ366D_2.0,P_BMX__BMXWAIST_Waist_Circumference_cm,0.0
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0
P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,P_HUQ__HUQ010_General_health_condition,0.0
P_MCQ__MCQ366D_2.0,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.0
P_MCQ__MCQ366D_2.0,P_HUQ__HUQ010_General_health_condition,0.0
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,P_BMX__BMXWAIST_Waist_Circumference_cm,0.0
P_HUQ__HUQ010_General_health_condition,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.0
P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.0
P_HUQ__HUQ010_General_health_condition,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0
P_PBCD__LBDBPBSI_Blood_lead_umol_L,P_BMX__BMXWAIST_Waist_Circumference_cm,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,Pulse_median,0.0
P_PBCD__LBDBPBSI_Blood_lead_umol_L,P_HUQ__HUQ010_General_health_condition,0.0
P_PBCD__LBDBPBSI_Blood_lead_umol_L,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.0
P_MCQ__MCQ300C_2.0,P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.0
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,0.0
P_LUX__LUXCAPM_Median_CAP_decibels_per_meter_dB_m,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.0
P_ALB_CR__URDACT_Albumin_creatinine_ratio_mg_g,P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_MCQ__MCQ366D_2.0,0.0
P_HUQ__HUQ051_times_receive_healthcare_over_past_year,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.0
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,P_MCQ__MCQ366D_2.0,0.0
P_BIOPRO__LBXSCLSI_Chloride_mmol_L,P_BMX__BMXWAIST_Waist_Circumference_cm,0.0
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,P_MCQ__MCQ366D_2.0,0.0
P_BIOPRO__LBDSTRSI_Triglycerides_refrig_serum_mmol_L,P_BMX__BMXWAIST_Waist_Circumference_cm,0.0
Pulse_median,P_MCQ__MCQ366D_2.0,0.0
Pulse_median,P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.0
Pulse_median,P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.0
P_PBCD__LBDBPBSI_Blood_lead_umol_L,P_MCQ__MCQ366D_2.0,0.0
P_BMX__BMXWAIST_Waist_Circumference_cm,P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.0
